         x                 cos(x)       
      0.0000000            1.00000       
      0.0628319            0.99803       
      0.1256637            0.99211       
      0.1884956            0.98229       
      0.2513274            0.96858       
      0.3141593            0.95106       
      0.3769911            0.92978       
      0.4398230            0.90483       
      0.5026548            0.87631       
      0.5654867            0.84433       
      0.6283185            0.80902       
      0.6911504            0.77051       
      0.7539822            0.72897       
      0.8168141            0.68455       
      0.8796459            0.63742       
      0.9424778            0.58779       
      1.0053096            0.53583       
      1.0681415            0.48175       
      1.1309734            0.42578       
      1.1938052            0.36812       
      1.2566371            0.30902       
      1.3194689            0.24869       
      1.3823008            0.18738       
      1.4451326            0.12533       
      1.5079645            0.06279       
      1.5707963            -0.00000      
      1.6336282            -0.06279      
      1.6964600            -0.12533      
      1.7592919            -0.18738      
      1.8221237            -0.24869      
      1.8849556            -0.30902      
      1.9477874            -0.36812      
      2.0106193            -0.42578      
      2.0734512            -0.48175      
      2.1362830            -0.53583      
      2.1991149            -0.58779      
      2.2619467            -0.63742      
      2.3247786            -0.68455      
      2.3876104            -0.72897      
      2.4504423            -0.77051      
      2.5132741            -0.80902      
      2.5761060            -0.84433      
      2.6389378            -0.87631      
      2.7017697            -0.90483      
      2.7646015            -0.92978      
      2.8274334            -0.95106      
      2.8902652            -0.96858      
      2.9530971            -0.98229      
      3.0159289            -0.99211      
      3.0787608            -0.99803      
      3.1415927            -1.00000      
      3.2044245            -0.99803      
      3.2672564            -0.99211      
      3.3300882            -0.98229      
      3.3929201            -0.96858      
      3.4557519            -0.95106      
      3.5185838            -0.92978      
      3.5814156            -0.90483      
      3.6442475            -0.87631      
      3.7070793            -0.84433      
      3.7699112            -0.80902      
      3.8327430            -0.77051      
      3.8955749            -0.72897      
      3.9584067            -0.68455      
      4.0212386            -0.63742      
      4.0840704            -0.58779      
      4.1469023            -0.53583      
      4.2097342            -0.48175      
      4.2725660            -0.42578      
      4.3353979            -0.36812      
      4.3982297            -0.30902      
      4.4610616            -0.24869      
      4.5238934            -0.18738      
      4.5867253            -0.12533      
      4.6495571            -0.06279      
      4.7123890            -0.00000      
      4.7752208            0.06279       
      4.8380527            0.12533       
      4.9008845            0.18738       
      4.9637164            0.24869       
      5.0265482            0.30902       
      5.0893801            0.36812       
      5.1522120            0.42578       
      5.2150438            0.48175       
      5.2778757            0.53583       
      5.3407075            0.58779       
      5.4035394            0.63742       
      5.4663712            0.68455       
      5.5292031            0.72897       
      5.5920349            0.77051       
      5.6548668            0.80902       
      5.7176986            0.84433       
      5.7805305            0.87631       
      5.8433623            0.90483       
      5.9061942            0.92978       
      5.9690260            0.95106       
      6.0318579            0.96858       
      6.0946897            0.98229       
      6.1575216            0.99211       
      6.2203535            0.99803       
      6.2831853            1.00000       
